PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
CTNNB1	EP300
RXRA	THRB
THRB	HIF1A
HIF1A	ARNT
CTNNB1	LEF1
LEF1	JUN
THRB	GATA4
GATA4	SRF
SRF	ETS1
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	ATF1
THRB	PIK3R5
PIK3R5	AKT3
AKT3	IRF3
CREBBP	STAT1
AKT3	NFKB1
CREBBP	TP53
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HNF1A	FOXA3
MITF	TYRP1
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
RXRB	PLTP
USF2	CALCA
E2F4	CAV1
SP1	CCND1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
