AR	PRKACA
PRKACA	MAPK1
MAPK1	STAT3
MAPK1	STAT1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
MAPK1	ETS1
MAPK1	SMAD3
MAPK1	FOS
PRKACA	MAPK8
MAPK8	JUND
MAPK1	SMAD4
MAPK8	JUNB
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
HIF1A	TF
TEAD1	AXIN2
TEAD3	GLI2
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
SMAD4	ZFP36
