PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	JUN
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	RELA
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
NOS1	HRAS
HRAS	JUN
MAPK1	SMAD2
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD2	SP1
MAPK1	RELA
NPAS2	RORC
CLOCK	RORA
ARNT	ENO2
ARNT	EPO
ARNT	SLC2A1
ARNT	TF
ARNT	VEGFB
ARNT	HKDC1
YAP1	CTGF
YAP1	FGF1
YAP1	ITGB2
YAP1	MYC
YAP1	CCND2
WWTR1	CTGF
WWTR1	AREGB
SMAD1	ID2
SMAD3	CTGF
SMAD4	CTGF
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYB	TSC22D3
MYBL1	TSC22D3
SP1	COL4A2
SP1	CD9
WT1	ODC1
SP1	PDGFB
