KCNQ1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	JUN
MAPK1	STAT1
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	SMAD3
MAPK1	STAT3
PRKACA	RELA
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	MYC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ARNT	EDN1
TEAD1	GLI2
TEAD4	AXIN1
MAPK3	CDK4
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYB	HLA-DRB1
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
ELK1	CCT8
SP1	CD9
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
EGR1	COL2A1
SP3	COL2A1
ETS1	DNTT
USF1	FBP1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
