PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	HIF1A
CTNNB1	EP300
HIF1A	ARNT
CREBBP	CREB1
THRB	GATA4
GATA4	SRF
SRF	ELK1
ELK1	EGR1
CREBBP	TP53
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
NOS3	CREB1
MAPK1	ELK1
MAPK1	TP53
TNF	VCAM1
GLI3	HHIP
ELK1	XIAP
ATF4	IL8
CREB3L2	IL8
CREBBP	HK2
CREBBP	BCL2
EP300	HK2
EP300	BCL2
HIF1A	HK2
SOS1	SPRY3
MYD88	IFNA8
NFYA	HLA-DRB1
NFYA	HLA-DRB5
NFYB	LOC100507714
NFYB	LOC100509457
RFX5	HLA-DOA
RFX5	HLA-DOB
USF2	ABCA1
SP1	CAV1
CREB1	CCND1
E2F1	HIST1H2AM
STAT1	IFNG
FLI1	MMP9
USF1	PTPN6
SPI1	SERPINB1
EGR1	SOD1
JUN	TFPI2
EGR1	THBS1
ELK1	TNF
TFAP2A	TNPO1
POU2F1	TXNRD1
