TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	MYC
MAPK8	TP53
NFKB1	MYB
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	RELA
PRKACA	CREB1
MAPK8	SMAD3
MAPK1	STAT3
MAPK1	STAT1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
MAPK14	CXCL1
ELK1	XIAP
JUN	CCND2
ATF6B	IL8
FOS	MMP9
NFATC2	TNF
CREB3L2	IL8
CREB3L3	IL8
CREBBP	ENO1
CREBBP	GAPDH
CREBBP	LDHA
CREBBP	BCL2
CREBBP	TFRC
EP300	ENO1
EP300	GAPDH
EP300	LDHA
EP300	BCL2
EP300	TFRC
HIF1A	ENO1
HIF1A	GAPDH
HIF1A	LDHA
HIF1A	TIMP1
HIF1A	HKDC1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
NFYA	HLA-DQA1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK8	IL18
MAPK9	IL12B
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
USF1	CTSB
E2F1	HIST1H2AM
CREB1	HMOX1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
TFAP2A	POLD2
USF1	PTPN6
MYBL2	RBL1
RARA	S100A8
NFKB1	SAA2
CEBPA	SERPINC1
EGR1	SOD1
MYBL2	SP1
POU2F1	SPP1
CREB1	TF
POU2F1	TFPI2
EGR1	THBS1
CREB1	TIMP1
STAT1	TIMP1
CEBPB	TNF
POU2F1	TNF
TFAP2A	TNPO1
MYC	TP53
STAT1	TP53
FOS	TSHB
USF2	TYMS
