HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	RAF1
RAF1	RELA
HRAS	JUN
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	STAT1
MAPK1	MYC
MAPK1	ELK1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CREB1
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
RB1	E2F2
RB1	E2F3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	CREB3
CREB3	ATF1
RAF1	NFKB1
SMAD2	SP1
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	PPP1CA
PPP1CA	YAP1
ITGB2	SRC
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
AKT3	RELA
AKT3	JUN
SRC	STAT3
STAT3	STAT1
PIK3R5	GSK3B
GSK3B	MYC
ITGB2	CRK
CRK	ABL1
ABL1	RB1
AKT3	CREB1
EGFR	SOS1
EGFR	SOS2
PIK3R5	PLCE1
AKT3	CREB3
AKT3	NFKB1
CREBBP	SP1
GLI3	BMP2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
LEF1	MYC
TCF7	BIRC5
TCF7L2	MYC
ELK1	BIRC2
CREB1	PCNA
RELA	MMP9
CREBBP	CDKN1A
CREBBP	PGF
EP300	CDKN1A
EP300	PGF
HIF1A	CDKN1A
HIF1A	TIMP1
HIF1A	VEGFB
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT4	SOCS2
STAT5B	SOCS1
RXRA	ACADM
NFKB1	IL23A
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
ETS2	TWF2
LEF1	ADA
NFIC	ADA
SP1	CD14
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
EGR1	EGFR
STAT1	EGFR
PPARG	GADD45A
PPARA	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
EGR1	PLAU
ETS2	PLAU
ATF1	PLAUR
ESR1	PTMA
SP1	RPL10
ETS1	SLC26A3
ETS2	SPP1
HOXA5	TH
JUND	TIMP1
SP3	TNNC1
NFKB1	TP53
