DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	XBP1
XBP1	CEBPA
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
JAK2	STAT1
STAT1	TRAF6
TRAF6	IRF7
STAT1	MYD88
CREBBP	SP1
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKCA	MTOR
MTOR	PPARG
MAPK8	ELK1
ELK1	SPI1
VDR	CALB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
PAX6	INS
CREBBP	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
RBPJL	HES1
TP53	PIDD
MYC	VEGFC
NFKB1	TRAF6
NFKB2	BCL2L1
FOXO3	CDKN1B
NFKB1	MYB
PPARA	CPT2
PPARA	ACSBG2
PPARD	ILK
PPARG	CPT1A
RXRA	APOA5
RXRA	DBI
RXRB	CPT2
RXRB	CYP8B1
RXRG	NR1H3
RXRG	APOA5
RXRG	DBI
NFYB	HLA-DOB
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
EGR1	APOA1
USF1	APOA2
CEBPA	APOB
ATF2	APOC3
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
TFAP2A	COL1A1
NFIC	POLD2
ETS1	VWF
ETS2	VWF
NFIC	VWF
