AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	JUN
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT3
MAPK1	STAT1
MAPK1	ETS1
MAPK1	FOS
PRKACA	RELA
PRKACA	CREB1
PRKACA	MAPK8
MAPK8	JUND
MAPK8	JUN
MAPK10	JUN
CREBBP	ANGPT4
CREBBP	PFKFB3
EP300	ANGPT4
EP300	PFKFB3
HIF1A	ANGPT4
HIF1A	PFKFB3
MAPK11	IL18
MAPK11	NOS2
SP1	COL4A2
SP1	CAV1
SP1	CD9
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARD	SERPINE1
JUN	SFTPA1
ATF1	TG
CREB1	TH
ETS1	TNNC1
SMAD2	TNNC1
PAX1	VHL
ERG	VWF
