SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	ETS1
MAPK1	STAT3
MAPK1	FOS
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	STAT1
PRKACA	MAPK8
MAPK8	JUND
MAPK8	JUNB
NFKB1	TNF
TNF	SMAD7
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
NFKB1	CEBPB
MAPK1	SMAD2
SMAD2	E2F4
NFKB1	TP53
PRKACA	RELA
MAPK1	ELK1
ELK1	EGR1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
LEF1	PPARD
MAPK1	ESR1
MAPK1	ETS2
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	ATF2
CREBBP	EPAS1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PPP2CA	WWTR1
MAPK1	MYC
NFKB1	MYB
NFKB1	NFKB2
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK1	FOXO3
MAPK1	FOXO1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK8	FOSB
ETS1	SPI1
MAPK1	AR
CEBPA	E2F1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	MITF
MAPK1	ESR2
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
RXRA	RARB
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB3L3	CRH
CREB3L1	CRH
CREB5	BDNF
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
GLI2	WNT1
GLI2	WNT2
SMAD4	CDKN2B
TFDP2	CCNE2
ARNTL	BHLHE40
JUN	RELA
FOS	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	XIAP
ELK1	CCND3
CREB1	IL8
CREBBP	FASLG
ATF6B	PCNA
CREB3L4	PCNA
EGR3	FASLG
NFATC1	TNF
NFATC2	TNF
NFKB1	MMP9
MAPK8	JUN
MAPK8	SMAD4
RELA	IL6
CREB3L2	IL8
