TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	AKT3
AKT3	NR4A1
NR4A1	RXRA
RXRA	RARB
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	SP1
SMAD3	E2F4
SMAD3	TFDP1
TFDP1	E2F1
MAPK8	TP53
MAPK8	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK8	JUN
RAF1	MAPK1
MAPK1	MYC
BCL2	TP53
TP53	PTEN
PTEN	AKT3
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
CDKN1A	CCNA1
CCNA1	E2F1
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
AKT3	JUN
YAP1	MYC
MITF	TYRP1
PIK3R2	AKT3
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MAPK9	TNF
MAPK10	IL6
MAPK12	IL1A
PPARG	SAT1
SP1	CAV1
SP1	CD9
USF1	CTSB
STAT5A	EGFR
STAT5B	EGFR
PPARG	GADD45A
