PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
CREBBP	STAT3
AKT3	RELA
CTNNB1	LEF1
LEF1	JUN
CREBBP	TP53
CREBBP	CREB3
CREBBP	CREB1
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	ATF2
CREBBP	ATF4
CREBBP	ATF6B
CREBBP	CREB5
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
THRB	GATA4
GATA4	SRF
SRF	ELK1
ELK1	EGR1
CTNNB1	EP300
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	STAT3
MAPK1	RELA
NOS1	HRAS
HRAS	JUN
MAPK1	TP53
GATM	NOS3
NOS3	CREB3
NOS3	CREB1
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	ATF2
NOS3	ATF4
NOS3	ATF6B
NOS3	CREB5
SMAD2	E2F4
MAPK1	ELK1
CREB3	CREBBP
CREB3	EP300
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	MAPK1
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
PRKCZ	AKT3
AKT3	JUN
AKT3	CREB3
AKT3	CREB1
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	ATF2
AKT3	ATF4
AKT3	ATF6B
AKT3	CREB5
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
TP53	CDKN1A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF6B	PCNA
CREBBP	ENO2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
MAPK11	IL18
MAPK11	NOS2
NFATC1	PTGS2
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CALCA
E2F4	CAV1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CYP17A1
TAL1	NFKB1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARB	S100A8
POU2F2	SPP1
ETS1	VWF
ETS2	VWF
NFIC	VWF
