DHODH	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK8	JUN
PRKACA	NFKB1
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	ETS1
CREBBP	SP1
PRKACA	RELA
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
JAK2	STAT3
STAT3	MYC
PTK2B	RAC1
RAC1	NFKB1
NFKB1	HIF1A
NFKB1	TP53
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
RAC1	MAPK1
MAPK1	JUN
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
RAC1	RELA
MAPK1	FOS
MAPK1	MYC
GLI3	HHIP
TFDP2	CCNE2
RBPJ	FCER2
CTNNB1	CCND3
NFAT5	TNF
NFATC2	TNF
RELA	IL6
CREB5	IL8
CREBBP	LDHA
CREBBP	PFKL
CREBBP	VEGFC
EP300	LDHA
EP300	PFKL
EP300	VEGFC
HIF1A	LDHA
STAT5A	CCND1
STAT6	MYC
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
RFX5	LOC100507709
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
CREB1	ERBB2
ELK1	ERBB2
TFAP2A	GH2
USF1	GH2
USF2	GH2
E2F1	HIST1H2AM
TFAP2A	HMOX1
FLI1	MMP9
SPI1	NFKB1
PPARG	PTGS2
MYC	PTMA
TP53	RELA
CEBPA	SERPINC1
NFIC	SFTPC
SP1	SPN
POU2F1	TFPI2
HOXA4	TH
JUN	TIMP1
POU2F1	TNF
SMAD4	TNNC1
JUN	TP53
USF2	TYMS
