CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
MTOR	PPARG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	CREB1
PRKACA	PSEN1
PSEN1	ATF6
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
PRKCA	PRKACA
PRKCA	CREB1
MYC	MMP2
MYC	VEGFC
ATF2	MCL1
FOXO3	CDKN1B
PPARA	ANGPTL4
PPARA	ACSBG2
PPARG	SCD5
RXRA	APOA5
NFYB	HLA-DQB1
PPARG	SAT1
SP1	CAV1
TFAP2A	COL1A1
JUND	FOSL1
POU5F1	GADD45A
TFAP2A	HMOX1
