HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ESR1
MAPK1	SMAD3
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
SMAD2	WWTR1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	MYC
MAPK1	STAT3
MAPK1	ELK1
ELK1	EGR1
HRAS	JUN
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	E2F4
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	CREB1
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK14	MAX
NFKB1	NFKB2
CREBBP	EPAS1
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ETS1
HRAS	FOS
MAPK1	ATF2
PRKACA	CREM
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ATF4
CREBBP	RBPJL
CREBBP	RBPJ
NFKB1	MYB
HRAS	MAPK3
MAPK1	CREB3
CREB3	ATF1
MAPK1	ESR2
ETS1	SPI1
HRAS	MAPK11
HRAS	MAPK13
STAT1	MYD88
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ATF6B
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
NFKB1	TRAF6
TRAF6	IRF5
ITGAL	PTK2
PTK2	MAPK1
ITGAL	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
STAT3	PPARGC1A
PPARGC1A	PPARA
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
SRC	PIK3R5
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
CTNNB1	CREBBP
CTNNB1	EP300
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT3	MYC
SRC	HRAS
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PTK2	MAPK14
PIK3R5	AKT3
AKT3	IKBKG
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT1
SRC	GRB2
PTK2	ITGB1
ITGB1	PRKACA
CREBBP	MYB
PTK2	MAPK3
ITGAL	ICAM1
ICAM1	PLCG2
PLCG2	CAMK2A
CAMK2A	ATF1
STAT3	ESR2
PTK2	MAPK11
PTK2	MAPK13
STAT1	TRAF6
HDAC2	THRA
THRA	CTNNB1
CREBBP	TP53
CREBBP	SP1
HDAC2	HDAC1
HDAC1	FOS
FOS	IL6
IL6	LEPR
LEPR	PPARA
IL6	STAT3
HDAC2	CTBP1
CTBP1	LEF1
YAP1	SMAD3
HDAC2	THRB
THRB	HIF1A
LEF1	JUN
JUN	NFKB1
JUN	RELA
YAP1	WWTR1
HDAC2	RXRA
RXRA	PPARG
YAP1	SMAD2
YAP1	SMAD4
HDAC2	RBPJL
RBPJL	MYC
THRB	GATA4
GATA4	SRF
SRF	ELK1
CTBP1	TCF7
CTBP1	TCF7L2
CTBP1	TCF7L1
HDAC2	RB1
RB1	TFDP1
TFDP1	E2F4
NFKB1	CEBPB
LEF1	BIRC2
BIRC2	TRAF3
TRAF3	TBK1
CREBBP	CREB1
MYC	PIAS2
PIAS2	STAT5A
PIAS2	STAT5B
PIAS2	STAT1
PIAS2	STAT2
PIAS2	STAT4
PIAS2	STAT6
MYC	MAX
FOS	TNF
TNF	IKBKB
IKBKB	NFKB2
THRB	PIK3R5
EGFR	SOS1
EGFR	SOS2
SRF	ETS1
CREBBP	ATF2
PIK3R5	PLCE1
HDAC2	RXRB
HDAC2	RXRG
CREBBP	ATF4
HDAC2	RBPJ
RBPJL	FGR
FGR	PTK2
CREBBP	CREB3
SRF	SPI1
FOS	IL1B
IL1B	IL1R1
IL1R1	MYD88
