AR	PRKACA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
NFKB1	CEBPB
NFKB1	TP53
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	JUN
MAPK1	ETS1
PRKACA	RELA
NFKB1	PPP2CA
PPP2CA	YAP1
NFKB1	HIF1A
CYP21A2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	MAPK1
MAPK1	TP53
HRAS	JUN
RAF1	RELA
CYP21A2	CYP11B2
CYP11B2	HSD17B6
HSD17B6	DGAT1
DGAT1	PPAP2A
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	YAP1
JAK2	PIK3R5
PIK3R5	HIF1A
CYP19A1	CYP3A4
CYP3A4	PLA2G4B
MAPK1	SMAD2
SMAD2	SP1
SMAD2	YAP1
PRKCA	MTOR
MTOR	HIF1A
ATF6B	ARC
ATF4	ARC
JUN	RELA
MAPK11	IL8
RBPJL	FCER2
HIF1A	PGK1
HIF1A	TFRC
MITF	DCT
RBPJ	HES1
TP53	BAI1
RXRB	ACAA1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
RFXAP	LOC100509457
RFXAP	HLA-DOA
RFXAP	HLA-DRB4
SP1	CCND1
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
NFKB1	PPP2R4
CEBPB	PTGS2
NFKB1	VWF
