HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	RAF1
RAF1	NFKB1
MAPK1	ESR1
RAF1	RELA
MAPK1	CREB1
PRKACA	CREM
MAPK1	TP53
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ETS1
TP53	GADD45G
CREBBP	TFRC
STAT4	CCND3
STAT5B	CCND2
CREB1	HLA-DRB5
MAPK14	IL1A
MAPK14	IL6
MAPK14	IL12B
MAPK14	NOS2
MAPK14	TNF
MYD88	IFNA2
MYD88	IFNA5
NFKB1	IL18
NFYB	HLA-DPA1
NFYC	HLA-DMB
NFYC	HLA-DOA
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	CD9
USF1	CEACAM1
USF2	CEACAM5
MYC	EIF4E
ETS1	FOSL1
ETS2	FOSL1
BCL3	NFKB2
CREB1	TIMP1
