KCNQ1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	XBP1
XBP1	CEBPA
CREB3	IL8
CREB3L4	PCNA
SMAD3	MYC
CREB3L1	IL8
CREBBP	EPO
CREBBP	HK1
CREBBP	VEGFA
EP300	EPO
EP300	HK1
EP300	VEGFA
HIF1A	EPO
HIF1A	HK1
EPAS1	FIGF
EPAS1	PGF
EPAS1	TGFB2
MYC	CKS1B
MYC	VEGFB
NFKB2	BCL2L1
NFKB2	TRAF3
RELA	CCND1
FOXO3	BCL2L11
PPARA	CPT2
PPARA	CYP8B1
PPARA	ACSL4
PPARA	SCD5
PPARG	CPT1A
PPARG	FABP4
PPARG	GK
RXRA	SLC27A4
TCF7L1	PPARD
CEBPA	TSC22D3
CREB1	CD55
TFAP2A	CYP11A1
PPARD	RELA
RARA	S100A9
SPI1	SCARB2
USF1	SP1
NFIC	STMN1
EGR1	TFPI2
ETV4	TIMP1
E2F4	TK1
EGR4	TNF
FOS	TP53
WT1	TP53
JUN	TXN
