CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	MYC
MAPK1	STAT3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	TP53
MAPK1	STAT1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	SMAD3
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
GNAQ	PLCB1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ESR1
MAPK1	ETS1
HRAS	PIK3R5
PIK3R5	HIF1A
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
SMAD2	E2F4
MAPK1	ATF2
HRAS	FOS
MAPK1	CREB1
NFKB1	MYB
MAPK1	ATF4
DVL1	NOTCH1
NOTCH1	RBPJL
NOTCH1	RBPJ
MAPK1	ELK1
PIK3R5	MTOR
MTOR	PPARG
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
PRKCA	MAPK1
PRKCA	PRKACA
PRKCA	RAF1
PRKCA	KRAS
SMAD2	YAP1
STAT3	STAT5A
STAT3	STAT5B
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	ATF2
PRKCA	FOS
PRKCA	CREB1
PRKCA	ATF4
CREBBP	RBPJL
CREBBP	RBPJ
CREB3	NPY
CREB1	NPY
ATF6B	NPY
ATF6B	FOS
ATF4	FOS
GLI2	WNT2B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
NFKB1	TNF
MAPK9	JUN
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB1
EP300	PFKFB4
HIF1A	SERPINE1
HIF1A	PFKFB1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT4	CCND1
STAT5A	SOCS4
STAT5B	MYC
STAT5B	SOCS5
PAX6	GCK
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	PDPK1
MAPK3	IL18
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DMA
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	HMOX1
STAT5B	IFNG
EGR1	IGF2
SP1	IL1A
ATF2	INS
SP1	ITGA2
ETS1	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
TFAP2A	POLD2
USF2	PTGS2
PPARA	SERPINE1
SP1	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
PAX8	TG
CREM	TH
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
HIF1A	VHL
ERG	VIM
