NR3C2	KRAS
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
AR	PRKACA
PRKACA	PPARA
PPARA	RXRA
PGR	PIK3R5
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	NR1H3
NR1H3	RXRA
SRD5A2	UGT2B11
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	PIK3R5
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	NR1H3
CACNA1D	INS
CACNA1F	PLCD3
PLCD3	PIK3R5
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1A	PRKCA
CACNA1G	INS
CACNA1H	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRA
CACNA1I	CALML6
