COMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT1
MAPK1	STAT3
PRKCA	EGLN2
EGLN2	EPAS1
MAPK1	MYC
PRKCA	FOS
MAPK1	TP53
MTOR	PPARG
MAPK1	ESR1
PRKCA	CREB1
CREB3	ATF1
MAPK1	ELK4
ETS1	SRF
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PRKCA	ATF4
MAPK1	ELK1
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKACA	XBP1
XBP1	CEBPA
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI3	BMP2
ATF6B	PCNA
CREB3L4	PCNA
NFKB1	TNF
MAPK8	SMAD4
CREBBP	ENO2
CREBBP	EPO
CREBBP	SERPINE1
CREBBP	PDK1
EP300	ENO2
EP300	EPO
EP300	SERPINE1
EP300	PDK1
HIF1A	ENO2
HIF1A	EPO
HIF1A	SERPINE1
HIF1A	PDK1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS2
STAT5B	SOCS1
MITF	TYRP1
TCF7L2	MITF
MAPK3	CCND1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	CXCL2
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CA	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RXRB	SCP2
RXRG	FABP4
IRF7	IFNA10
CREB1	HLA-DPA1
CREB1	HLA-DPB1
CREB1	HLA-DQA1
CREB1	HLA-DQA2
CREB1	HLA-DQB1
NFYB	HLA-DPA1
NFYB	HLA-DQB1
MAPK1	TNF
MAPK9	IL12B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SAT1
USF2	CALCA
E2F4	CAV1
SP2	CCND1
SP1	CD9
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
CREB1	CYP11A1
JUN	CYP11A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT3	FOS
ETS1	FOSL1
POU2F2	IL4
ETS1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
PPARA	MMP9
RARB	S100A8
RARA	S100A9
PPARA	SERPINE1
PPARG	SERPINE1
POU2F2	SPP1
NFIC	STMN1
JUN	TFRC
CREB1	TG
STAT3	TIMP1
E2F4	TK1
ERG	TNNC1
FLI1	TNNC1
TP53	TP53
WT1	TP53
HIF1A	VHL
TFAP2A	VHL
