AR	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
NFKB1	TP53
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREBBP
CREBBP	SP1
NFKB1	MYB
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	RELA
MAPK1	JUN
MAPK1	STAT1
PRKACA	CREB3
PRKACA	CREB1
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB5
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ESR1
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK1	SMAD3
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	MAPK14
MAPK14	MAX
MAPK1	FOS
MAPK1	ETS1
PRKACA	EP300
NFKB1	HIF1A
PPP2CA	WWTR1
MAPK1	ETS2
CEBPA	E2F2
CEBPA	E2F3
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	BHLHE41
NPAS2	PER3
NPAS2	PER2
CLOCK	RORB
CLOCK	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FCER2
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
HIF1A	TIMP1
ARNT	EDN1
ARNT	HK2
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
PAX6	PDX1
CREB3	MITF
LEF1	MITF
MAPK3	CDK4
VDR	SLC34A2
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R2	PDPK1
RXRA	ACADL
RXRA	UCP1
RXRB	CYP4A22
RXRB	APOC3
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYC	HLA-DQA2
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
SP1	COL4A2
CREB1	ADRB2
CREB1	ARG1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
PPARG	GADD45A
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
CEBPA	PCK2
E2F4	PCNA
BRCA1	PCNA
SP3	PDGFB
FOS	PDHA1
PAX6	PDHX
JUN	PENK
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F1	POLA
JUN	POLA
TFAP2A	POLD2
E2F4	POLE2
NFIC	POLE2
CEBPD	PTGS2
CREB1	PTGS2
PPARG	PTGS2
RARB	PTGS2
REL	PTGS2
TFAP2A	PTGS2
USF1	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
