CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	MYC
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
SMAD2	SMAD7
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	CREB1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	ETS1
LEF1	PPARD
LOC400927-CSNK1E	WWTR1
HRAS	JUN
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	HRAS
PRKCA	CREB1
PRKCA	MAP3K1
PRKCA	RAF1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
SMAD2	YAP1
SMAD2	WWTR1
GLI3	BMP2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
CREBBP	FASLG
RELA	IL6
CREBBP	EGF
CREBBP	PFKL
EP300	EGF
EP300	PFKL
HIF1A	EGF
HIF1A	TIMP1
ARNT	FIGF
ARNT	HK2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TEAD3	CTGF
STAT4	SOCS2
HIF1A	TGFB1
MAPK8	IL18
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
ETV4	PLAUR
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF2	ABCA1
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
ETS1	DNTT
PPARA	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
USF1	S100A6
NFIC	SFTPC
LEF1	SPP1
HOXA4	TH
SP1	TIMP1
SMAD4	TNNC1
PAX8	TP53
