COMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	CREB1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	PRKACA
PRKACA	PPARA
MAPK1	STAT3
MAPK1	STAT1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ETS1
STAT3	PIM1
EP300	PFKFB1
TEAD1	BIRC2
PAX6	INS
CREB1	MITF
EP300	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
EPAS1	PDGFB
ETS1	MMP1
NFKB2	TRAF2
CREB3	BCL2
PPARA	CYP7A1
PPARA	LPL
PPARG	CYP27A1
PPARG	PLIN1
NFYB	HLA-DQA2
NFIC	HSPA1A
JUN	TNNC1
