DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	NFKB1
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
MAPK8	JUN
PTK2B	RAC1
RAC1	RELA
RAC1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
RAC1	NFKB1
NFKB1	TP53
NFKB1	HIF1A
MAPK1	JUN
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
CREBBP	TEK
SOS1	SPRY3
STAT5A	SOCS4
STAT5B	SOCS5
PAX6	GCK
MAPK3	CDK4
VDR	ATP2B1
PPARG	SAT1
USF2	ABCA1
ETS1	DNTT
SP1	EGFR
STAT1	EGFR
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
USF2	THBS1
