DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	NFKB1
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	RELA
PRKACA	PPARA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
MYC	ZBTB17
MYC	PIAS2
LEF1	PPARD
STAT3	ESR1
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	XBP1
XBP1	CEBPA
MAPK8	ELK1
ELK1	EGR1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	CREB1
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ETS1
PTK2B	SRC
SRC	CTNNB1
PTK2B	RAC1
RAC1	NFKB1
RAC1	PIK3R5
PIK3R5	MTOR
RAC1	RELA
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
NFKB1	TP53
RAC1	MAPK1
MAPK1	JUN
MAPK1	MYC
MAPK1	ESR1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
NFKB1	PPP2CA
PPP2CA	YAP1
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	ELK1
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
GLI3	BMP2
GLI3	BMP4
ARNT	ENO2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
SMAD3	CTGF
STAT4	SOCS2
STAT5B	SOCS1
TP53	PERP
STAT3	VEGFA
ETS1	VEGFB
JUN	PGF
JUN	VEGFC
MYC	VEGFC
NFKB1	CCND1
NFKB2	XIAP
NFKB2	TRAF1
FOXO3	CDKN1B
FOXO3	PCK1
CREB5	MCL1
PPARA	CYP4A11
PPARA	ACSBG2
PPARA	FADS2
PPARD	ACOX3
PPARG	CPT1B
RXRA	APOA5
RXRA	CPT1B
RXRA	ACSL5
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
SP1	CD9
TFAP2A	COL1A1
SMAD7	HMOX1
STAT3	HMOX1
PPARA	MMP9
PPARG	MMP9
