DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	MYC
GNAI1	HRAS
HRAS	JUN
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SMAD2	SP1
MAPK1	ETS1
MAPK1	CREB1
GNAI1	MAPK3
HRAS	FOS
MAPK1	ATF2
PIK3R5	MTOR
MTOR	PPARG
MAPK1	NFKB1
MAPK1	ELK1
MAPK1	RELA
NFKB1	NFKB2
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	ATF4
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAI1	MAPK14
MAPK14	MAX
PRKACA	PPARA
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HRAS	PIK3R5
HRAS	MAPK3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
HRAS	MAPK14
HTR2C	GNAQ
HTR2C	CACNA1C
HTR6	GNAS
GNAS	GNB5
GNB5	MAPK1
GNAS	SRC
SRC	STAT3
STAT3	MYC
SRC	HRAS
SRC	PIK3R5
STAT3	ESR1
ESR1	SP1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNB5	MAPK3
PRKACA	ATF2
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF4
GNB5	MAPK14
ADRA1A	PRKAG2
PRKAG2	FOXO3
FOXO3	RBL2
RBL2	E2F4
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
ADRA1A	GNAQ
PRKAG2	MTOR
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
CREBBP	SP1
CRTC2	CREB1
CRTC2	ATF2
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
AKT3	CHUK
CHUK	NFKB2
CRTC2	CREB3
CRTC2	CREB3L2
CRTC2	CREB3L1
CRTC2	ATF4
MTOR	PRKCA
PRKCA	PRKACA
PRKAG2	PPARGC1A
PPARGC1A	PPARA
ADRA1B	GNAQ
ADRA1D	GNAQ
ATF6B	FOS
ATF4	FOS
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
LEF1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
EPAS1	PGF
MYC	VEGFA
NFKB2	BIRC2
NFKB2	TRAF3
CREB3L4	MCL1
CREB3L3	BCL2
PPARA	CYP8B1
PPARA	SCP2
PPARD	UBC
PPARG	FABP4
RXRA	NR1H3
RXRA	ACSL1
RXRA	ACADL
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
NFKB1	IL23A
MAPK8	IL18
MAPK9	IL12B
MAPK9	TNF
MAPK10	IL12A
MAPK10	IL12B
RFX5	LOC100507709
MAPK12	IL6
EGR1	APOA1
USF1	APOA2
CEBPA	APOB
USF1	CEACAM6
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
EGR1	EGFR
PPARG	GADD45A
RARA	GADD45A
E2F1	HIST1H2AM
ATF2	INS
SP1	ITGA2
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
