HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
HRAS	JUN
MAPK1	TP53
DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	HRAS
GRIA2	LYN
LYN	PRKCA
PRKCA	CREB1
GRIA2	GRIN1
GRIN1	NOS1
NOS1	MAPK1
LYN	BTK
BTK	CHUK
CHUK	NFKB2
GRIN1	CALML6
CALML6	HRAS
GRIA3	LYN
GRIA3	GRIN1
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	BIRC5
STAT5A	SOCS4
STAT5A	SOCS7
STAT5A	CCND1
STAT5B	SOCS7
STAT5B	SOCS5
STAT6	SOCS4
STAT6	MYC
CREBBP	MITF
TP53	RRM2B
RXRB	GK2
RXRB	MMP1
CREB1	AQP3
CREB1	ARG1
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
SP1	PLAU
