CACNA1B	INS
INS	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
MAPK1	ETS1
MAPK1	TP53
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	NFKB1
MAPK1	JUN
NFKB1	NFKB2
SOS1	SPRY3
STAT5A	SOCS5
MAPK3	CDK4
RXRB	PCK1
RXRG	ACSL6
RXRG	AQP7
RXRG	PLIN1
JUN	IL6
NFKB1	IL12B
SPI1	ITGAM
MYD88	IFNA8
NFYA	HLA-DQA1
NFYC	HLA-DQA2
MAPK8	IL1A
MAPK8	IL18
MAPK9	IL1A
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
MYC	CCNB1
ELK1	CCT8
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
ETS1	DNTT
CREB1	F3
E2F1	HIST1H2AM
SMAD7	HMOX1
STAT3	HMOX1
