TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
GLI3	PTCH1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3L4	PCNA
CREBBP	EPO
EP300	EPO
HIF1A	EPO
HIF1A	PGK1
ARNT	PDK1
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
PAX6	GCK
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MAPK3	IL18
MAPK8	IL18
RFXAP	HLA-DOA
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP3	CD14
SP1	COL2A1
SP3	COL2A1
TFAP2A	HMOX1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ETV4	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARA	S100A9
NFIC	STMN1
E2F4	TK1
WT1	TP53
NFKB1	VWF
