SLC12A2	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ETS1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	FOS
MAPK1	MYC
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
CEBPA	E2F1
CREBBP	EPAS1
NFKB1	TP53
PRKACA	RELA
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	CREB1
PRKACA	ATF2
MAPK1	ELK1
ELK1	EGR1
NFKB1	PPP2CA
PPP2CA	YAP1
PPP2CA	WWTR1
ETS1	SPI1
NFKB1	CEBPB
MAPK1	STAT3
MAPK1	STAT1
PRKACA	ATF1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	FOXO3
MAPK1	FOXO1
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	SMAD3
MAPK1	SMAD2
SMAD2	TFDP1
CTNNB1	HNF1A
NR3C2	ATP1A2
NR3C2	ATP1B1
GLI2	WNT6
GLI2	PTCH2
GLI3	GLI1
ELK1	BIRC2
SMAD3	MYC
NFKB1	TNF
MAPK8	SMAD4
MAPK9	JUN
MAPK10	JUN
RELA	MMP9
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	PFKFB3
CREBBP	PGF
EP300	HK1
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB1
EP300	PFKFB3
EP300	PGF
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB1
HIF1A	PFKFB3
HIF1A	PGK1
HIF1A	BCL2
ARNT	CDKN1B
ARNT	ENO3
ARNT	FLT1
ARNT	GAPDH
ARNT	HMOX1
ARNT	PDK1
YAP1	BIRC2
YAP1	AREG
YAP1	SNAI2
YAP1	CCND3
WWTR1	BBC3
SMAD1	ID1
LEF1	SNAI2
LEF1	SOX2
SOS1	SPRED2
SOS1	BCL2L1
STAT2	MYC
STAT4	SOCS1
STAT5B	CCND1
CREBBP	MITF
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
RELA	CCL4L2
RELA	NFKB2
RELA	NFKBIA
RELA	TRAF1
RELB	TNFSF13B
RELB	ICAM1
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CB	AKT1
PIK3CD	PDPK1
PIK3CG	AKT2
PIK3CG	PDPK1
PLCG2	EGFR
PIK3R3	AKT2
PIK3R3	PDPK1
NFKB1	PGF
NFKB1	VEGFB
EPAS1	PDGFB
EPAS1	SLC2A1
ETS1	FIGF
ETS1	MMP1
ETS1	MMP2
FOS	MMP1
MAX	CKS1B
MYC	MMP1
MYC	VEGFB
NFKB1	TRAF4
NFKB2	TRAF2
NFKB2	TRAF5
NFKB2	TRAF6
RELA	TRAF4
IRF1	IL12B
CREB3	BCL2
CREB1	MCL1
FOXO3	BCL2L11
RELA	MYB
PPARA	CYP7A1
PPARA	DBI
PPARA	EHHADH
PPARA	ACAA1
PPARA	APOC3
PPARA	LPL
PPARA	ME1
PPARA	SCD5
PPARD	LPL
PPARG	CYP27A1
PPARG	ACSL1
PPARG	ACSL3
PPARG	LPL
PPARG	ANGPTL4
PPARG	PLIN1
PPARG	SCD
RXRA	SLC27A4
RXRA	EHHADH
RXRA	PLIN1
RXRA	SCP2
RXRB	CYP8B1
RXRB	DBI
RXRB	FABP4
RXRB	FABP3
RXRB	ACSL4
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRG	APOA5
RXRG	CPT1A
RXRG	CPT2
RXRG	CYP7A1
RXRG	FABP4
IRF7	IFNA10
NFKB1	IL18
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DPA1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
MAPK1	TNF
MAPK3	NOS2
MAPK3	IL23A
RFXAP	HLA-DOA
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SAT1
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SPI1	B2M
USF1	B2M
TP53	CAV1
SP2	CCND1
ELK1	CCT8
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
TFAP2C	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
NFKB1	HMOX1
CEBPB	IL5
JUN	IL5
ETV4	MMP2
JUN	MMP3
RELA	MMP3
ESR1	PTMA
SPI1	SCARB2
PPARA	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
JUN	SFTPA1
ETS1	SLC26A3
EGR1	TFPI2
JUN	TFRC
CREB1	TG
PAX8	TG
CREB1	TH
HOXA5	TH
EGR4	TNF
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SP3	TNNC1
JUN	TXN
HIF1A	VHL
TFAP2A	VHL
ERG	VIM
ERG	VWF
NFKB1	VWF
POU2F1	VWF
