KCNQ1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	XBP1
XBP1	CEBPA
MAPK1	JUN
MAPK1	ETS1
MAPK1	STAT3
NFKB1	TP53
MAPK1	STAT1
MAPK1	FOS
MAPK1	SMAD4
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	SMAD3
PRKACA	MAPK8
MAPK8	JUND
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
CREB3	NPY
CREB5	FOS
GLI1	PTCH1
GLI1	WNT10A
LEF1	CCND1
RBPJ	FCER2
CTNNB1	CCND3
MAPK8	JUN
RELA	IL6
CREBBP	ANGPT4
CREBBP	PFKL
EP300	ANGPT4
EP300	PFKL
HIF1A	ANGPT4
TEAD1	SNAI2
TEAD4	CCND3
STAT3	VEGFC
ETS1	CCND1
NFKB2	BCL2
CREB3L4	BCL2
PPARA	APOA5
PPARA	UCP1
PPARG	CPT1C
RXRA	SORBS1
NFYA	HLA-DQA1
MAPK11	IL18
MAPK11	NOS2
MAPK9	TNF
RFX5	HLA-DRB4
RFX5	HLA-DRB5
CREB5	AQP2
NFATC1	PTGS2
SPI1	B2M
USF1	B2M
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
FLI1	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
STAT5B	IFNG
ERG	JUN
SP1	LCAT
MYB	MAT2A
ETS1	PLAU
PPARG	PTGS2
MYC	PTMA
PPARD	SERPINE1
NFIC	SFTPC
ATF1	TG
HOXA4	TH
ETS1	TNNC1
SMAD4	TNNC1
PAX1	VHL
