SLC12A2	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ESR1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREB1
PRKACA	ATF4
PRKACA	ATF2
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK1	FOS
PRKACA	RELA
PRKACA	MAPK8
MAPK8	JUND
MAPK1	JUN
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK14
MAPK14	MAX
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ETS1
NFKB1	TNF
TNF	SMAD7
MAPK1	STAT3
MAPK1	ELK1
MAPK1	SMAD4
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
ELK1	EGR1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	STAT1
MAPK1	ETS2
CEBPA	E2F2
CEBPA	E2F3
MAPK1	SMAD3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	ATF1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
RXRA	RARB
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK8	JUNB
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	MAPK3
CREBBP	STAT2
CREBBP	STAT6
CREBBP	EPAS1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
NFKB1	CEBPB
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
ELK1	BIRC3
ELK1	XIAP
JUN	CCND2
CREB1	PCNA
CREBBP	FASLG
ATF6B	IL8
CREB3L4	PCNA
EGR3	FASLG
SMAD3	MYC
NFATC4	TNF
MAPK8	JUN
MAPK10	SMAD4
RELA	TNF
CREB3L2	IL8
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	EGF
CREBBP	ENO1
CREBBP	EPO
CREBBP	FIGF
CREBBP	HK1
CREBBP	NOS2
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	PGK1
CREBBP	BCL2
CREBBP	TFRC
EP300	CDKN1A
EP300	EGF
EP300	ENO1
EP300	EPO
EP300	FIGF
EP300	HK1
EP300	NOS2
EP300	ANGPT4
EP300	PFKFB4
EP300	PGK1
EP300	BCL2
EP300	TFRC
HIF1A	CDKN1A
HIF1A	EGF
HIF1A	ENO1
HIF1A	EPO
HIF1A	FIGF
HIF1A	HK1
HIF1A	NOS2
HIF1A	ANGPT4
HIF1A	VEGFA
HIF1A	VEGFB
HIF1A	VEGFC
ARNT	EGF
ARNT	EPO
ARNT	FIGF
ARNT	LTBR
ARNT	NOS2
ARNT	NOS3
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PFKFB3
ARNT	PFKFB4
ARNT	PFKL
ARNT	PGK1
