HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	STAT3
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	STAT1
HRAS	PIK3R5
PIK3R5	AKT3
AKT3	IRF3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT4
MAPK1	SMAD2
MAPK1	SMAD4
HRAS	JUN
MAPK1	ETS1
ETS1	SPI1
SMAD2	SP1
TEAD1	CTGF
TEAD4	SOX2
TEAD3	BIRC2
TEAD3	CCND3
TCF7L1	CCND3
RXRA	AQP7
RXRA	LPL
RXRA	ACSBG2
RXRA	ACOX3
RXRB	ACADM
RXRB	ILK
NFYB	HLA-DOB
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MAPK12	IL1B
SP1	ALDOA
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
EGR1	APOA1
SP3	APOA1
CEBPA	APOB
ATF2	APOC3
SP1	CAV1
