HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	MYC
HRAS	JUN
HRAS	MAPK3
HRAS	FOS
MAPK1	ETS1
HRAS	MAPK14
MAPK14	MAX
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
SMAD2	SP1
MAPK1	CREB1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ESR1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	ATF2
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
STAT1	MYD88
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD3
CREB3	ATF1
MAPK1	ATF4
MAPK1	MITF
NFKB1	MYB
HIF1A	EP300
HIF1A	ARNT
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	EDN1
ARNT	ENO1
YAP1	ID3
YAP1	ID4
YAP1	AXIN2
YAP1	NKD1
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	AXIN2
TEAD1	CCND2
TEAD4	CTGF
TEAD4	SNAI2
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	GLI2
TEAD3	BIRC5
TEAD3	CCND1
TEAD3	CCND2
TP73	BBC3
TCF7L1	BIRC2
TCF7L1	CCND2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	SOX2
TEAD2	AXIN2
TEAD2	CCND2
FOXO1	G6PC
SOS1	CCND1
STAT2	CCND3
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
STAT4	CCND3
STAT4	SOCS5
STAT5A	SOCS2
STAT5B	CCND2
STAT5B	SOCS3
STAT6	CCND1
LEF1	MITF
TCF7	MITF
TCF7L1	MITF
CREB3L1	MITF
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	RPRM
RXRA	ACADL
RXRA	APOA2
RXRA	SCD
RXRB	DBI
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRG	CPT1A
RXRG	CD36
MAX	CDK6
CREB1	HLA-DPA1
CREB1	HLA-DPB1
CREB1	HLA-DQA1
CREB1	HLA-DQA2
CREB1	HLA-DQB1
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFYA	LOC101060835
NFYB	HLA-DQA2
MAPK3	NOS2
MAPK3	IL23A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12A
RFXAP	CD74
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
CREM	CCND1
POU2F1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
EGR1	COL2A1
SP3	COL2A1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
SP1	CYP21A2
JUNB	DCN
USF1	FBP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
