AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
NFKB1	CEBPB
MAPK1	ETS1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
MAPK1	FOS
PRKACA	RELA
MAPK1	JUN
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	CREB1
MAPK1	STAT3
PRKACA	PPARA
PRKACA	MAPK3
PRKACA	MAPK14
PRKACA	MAPK11
PRKACA	MAPK13
PRKACA	MAPK8
PRKACA	MAPK9
PRKACA	MAPK10
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	ETS2
TRAF6	IRF5
GLI3	PTCH1
SOS1	SPRED2
SOS1	BCL2L1
STAT4	SOCS1
STAT5B	CCND1
LEF1	MITF
VDR	ATP2B1
RXRA	PLIN1
RXRA	SCP2
RXRB	NR1H3
RXRB	CPT1C
RXRB	ACSL4
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	UCP1
RXRB	ACOX2
RXRG	SORBS1
RXRG	ADIPOQ
EGR1	CCL5
MAPK10	IL8
MAX	CCND1
SMAD4	PITX2
SMAD5	ID3
SP1	CDKN2B
FOS	IL12A
FOS	CCL4
FOS	CCL4L1
IRF3	CD40
IRF5	IL8
IRF5	CCL5
IRF7	IFNA2
NFYA	LOC100507714
NFYB	HLA-DMA
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB4
MAPK12	IL6
TCF7L1	PPARD
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	CD55
CREB1	TWF2
NFKB1	REL
POU2F1	REL
USF2	XRCC6
JUN	ABCA1
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
SP1	AKR1B1
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
GLI1	BCL2
ATF1	BCL2
MYC	CCNB1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
PPARG	GADD45A
RARA	GADD45A
ETV4	MMP9
