TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	RELA
MAPK8	ELK1
ELK1	EGR1
MAPK8	JUN
CREBBP	SP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	PPARA
MAPK8	FOS
PRKACA	MAPK3
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	RELA
MAPK1	ELK1
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
MAPK1	NFKB1
HRAS	FOS
NOS1	MAPK3
NFKB1	CCL5
MAPK12	IL8
CREB3L4	PCNA
EGR3	FASLG
CREBBP	EPO
CREBBP	FIGF
EP300	EPO
EP300	FIGF
HIF1A	EPO
HIF1A	FIGF
HIF1A	PFKFB4
HIF1A	PFKL
STAT3	SOCS2
STAT3	CCND3
HNF1A	FOXA3
HNF1A	HNF4G
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
HIF1A	TGFB1
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK8	IL18
USF1	APOE
STAT1	EGFR
TFAP2A	ERBB2
PPARG	ESR1
SP1	ESR1
STAT5B	ESR1
ATF1	PPP2R4
ATF2	PTGS2
RARA	S100A9
RARG	S100A9
NFIC	STMN1
TFAP2A	TAF7
E2F4	TK1
ATF1	TNF
WT1	TP53
CREB1	TRH
ETS1	VWF
ETS2	VWF
