AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	TP53
MAPK1	JUN
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	MYB
JUN	CCND2
MAPK10	JUN
CREB3L3	IL8
CREBBP	PFKFB3
CREBBP	TFRC
EP300	PFKFB3
EP300	TFRC
HIF1A	PFKFB3
EPAS1	PGF
NFKB2	TRAF3
PPARA	CYP8B1
PPARG	FABP4
NFKB1	CEBPB
NFKB1	IL23A
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK10	IL12B
MAPK12	IL1A
SP3	CTSL
ETS1	DNTT
EGR1	FN1
RELA	FN1
ERG	HMOX1
MYBL2	RBL1
JUN	SFTPA1
MYBL2	SP1
CREB1	TH
CREB1	TIMP1
SMAD2	TNNC1
MYC	TP53
ERG	VWF
