DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	NFKB1
MAPK8	TP53
MAPK8	SMAD4
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
PRKCA	MTOR
MTOR	PPARG
PRKACA	EP300
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
ATF6B	ARC
ATF4	ARC
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
ARNT	PFKFB2
CREB3L2	MITF
PIK3R2	AKT1
NFKB1	IL18
RFXAP	HLA-DOA
NFATC3	PTGS2
LEF1	JUN
LEF1	MMP7
USF2	CEACAM6
ATF1	CGA
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
SP3	CYP17A1
STAT1	EGFR
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
TP53	IL8
CEBPA	ITGA2
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
