ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	JUN
PRKCA	MAPK1
MAPK1	ESR1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	NFKB1
PIK3R5	GSK3B
GSK3B	MYC
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
PIK3R5	MTOR
MTOR	PPARG
AKT3	RELA
PRKACA	PPARA
PRKCA	CREB1
PRKCA	FOS
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	STAT1
MAPK1	ETS1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD3
MAPK1	ELK1
AKT3	FOXO3
HIF1A	EP300
HIF1A	ARNT
AKT3	PPP1CA
PPP1CA	YAP1
MAPK1	ETS2
PRKCA	CREB3
CREB3	ATF1
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
MAPK1	STAT3
PRKCA	MAPK3
EGFR	STAT5A
EGFR	STAT5B
STAT5A	STAT4
AKT3	FOXO1
CREBBP	RBPJL
CREBBP	RBPJ
EGFR	SOS1
EGFR	SOS2
YAP1	BBC3
NFKB1	MYB
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
STAT5A	STAT2
STAT5A	STAT6
PRKCA	ATF4
ELK1	EGR1
PIK3R5	HRAS
HRAS	MAPK14
MAPK14	MAX
PLCD3	PIK3CA
PLCD3	PIK3CB
PLCD3	PIK3CD
PLCD3	PIK3CG
PLCD3	PIK3R1
PLCD3	PIK3R2
PLCD3	PIK3R3
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCA	PAX8
PRKCA	ATF2
MAPK1	SMAD4
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	ATF6B
PRKCA	CREB5
JUP	MYC
CREB3L3	NPY
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	CR2
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	CCND3
EGR2	FASLG
ATF4	PCNA
MAPK8	JUN
RELA	IL6
TP53	CDKN1B
CREBBP	ALDOA
CREBBP	HK3
CREBBP	ANGPT4
CREBBP	PFKL
CREBBP	TF
EP300	ALDOA
EP300	HK3
EP300	ANGPT4
EP300	PFKL
EP300	TF
HIF1A	ALDOA
HIF1A	HK3
HIF1A	ANGPT4
ARNT	CDKN1A
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
LEF1	BIRC2
LEF1	AXIN1
LEF1	NKD1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	G6PC2
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
NEUROG3	PAX6
PAX6	GCK
HNF1A	HNF4A
CREB3L4	MITF
LEF1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
NFKB1	VEGFC
STAT3	VEGFA
STAT3	VEGFB
EPAS1	PDGFB
EPAS1	PGF
EPAS1	SLC2A1
ETS1	VEGFB
ETS1	VEGFC
FOS	PGF
JUN	MMP2
JUN	PGF
MYC	VEGFC
NFKB1	CCND1
NFKB2	XIAP
NFKB2	CCND1
NFKB2	TRAF2
NFKB2	TRAF3
NFKB2	TRAF6
FOXO3	CDKN1B
FOXO3	PCK1
FOXO3	G6PC2
CREB3L2	BCL2
CREB5	MCL1
PPARA	SLC27A4
PPARA	CYP7A1
PPARA	CYP8B1
PPARA	EHHADH
PPARA	ACSBG2
PPARA	FADS2
PPARD	CPT1A
PPARD	ANGPTL4
PPARD	ACOX3
PPARG	SLC27A4
PPARG	CYP27A1
PPARG	FABP4
PPARG	ACSL3
RXRA	APOA5
RXRA	CPT1B
RXRA	CYP4A11
RXRA	FABP1
RXRA	ACADL
RXRA	SLC27A1
RXRA	LPL
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQA1
NFYB	HLA-DOA
NFYC	HLA-DMA
NFYC	HLA-DQA2
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL12B
MAPK3	IL18
MAPK3	NOS2
MAPK3	IL23A
MAPK11	IL12B
MAPK9	TNF
