HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	MAPK1
MAPK1	STAT3
PRKCA	HRAS
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	ESR1
MAPK1	TP53
MAPK1	MYC
MAPK1	SMAD4
SMAD4	LEF1
PRKCA	CREB1
MAPK1	STAT1
PRKCA	FOS
SMAD2	YAP1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	E2F4
MAPK1	ETS1
SMAD2	SMAD7
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT1	MYD88
MAPK1	SMAD3
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	PRKACA
PRKACA	PPARA
MAPK1	ETS2
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT4
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
PRKCA	ATF2
MAPK1	ELK1
ELK1	EGR1
PRKACA	XBP1
XBP1	CEBPA
PRKCA	CREB3L2
PRKCA	CREB3L1
CREB3L1	CRH
CREB3L1	NPY
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
CREB3	ARC
CREB1	ARC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
CLOCK	RORA
CLOCK	RORB
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	CCND1
MAPK14	CXCL1
RBPJL	FGR
RBPJ	FCER2
RBPJ	FGR
CTNNB1	CCND3
ELK1	BIRC2
CREBBP	FASLG
ATF6B	IL8
ATF6B	PCNA
EGR3	FASLG
ATF4	PCNA
RELA	IL6
RELA	MMP9
CREBBP	EGF
CREBBP	ENO1
CREBBP	ENO2
CREBBP	FIGF
CREBBP	HK3
CREBBP	PFKL
CREBBP	PGF
EP300	EGF
EP300	ENO1
EP300	ENO2
EP300	FIGF
EP300	HK3
EP300	PFKL
EP300	PGF
HIF1A	EGF
HIF1A	ENO1
HIF1A	ENO2
HIF1A	FIGF
HIF1A	HK3
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
FOXO1	PCK1
SOS1	SPRY1
SOS1	SPRED1
SOS1	MYC
STAT4	CCND3
STAT5B	CCND2
PAX6	PDX1
HNF1A	HNF4G
RELA	CCL4
RELB	CXCL12
PIK3R2	PDPK1
ETS1	VEGFC
FOS	FIGF
FOXO3	G6PC2
ATF4	MCL1
ATF4	BCL2
PPARD	CPT1A
PPARD	FABP3
PPARD	ACADL
RXRA	CYP4A11
RXRA	CYP8B1
RXRA	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	LOC100507714
NFYA	LOC100509457
NFYC	HLA-DMA
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DMB
RFXANK	HLA-DOA
MYB	TSC22D3
MYBL1	TSC22D3
MYBL2	CDKN1C
NFKB1	REL
POU2F1	REL
SP1	COL4A2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREB1	ADRB2
ATF1	AQP3
CREB1	ARG1
USF1	CCNB1
USF2	CCNB1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF1	CTSB
SP3	CTSL
SP1	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
STAT5B	ESR1
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
REL	IL2RA
STAT1	IL2RA
POU2F1	IL4
CEBPB	IL5
JUN	IL5
CREB1	IL6
NFIC	IL6
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
SP1	PDGFB
SP3	PDGFB
POU2F1	PLAU
SP1	PLAU
TP53	PLK1
TFAP2A	POLD2
CEBPD	PTGS2
PPARG	PTGS2
RARB	PTGS2
MYC	PTMA
ESR1	PTMA
USF1	S100A6
RARA	S100A8
RARB	S100A8
RARG	S100A9
JUN	SERPINB2
NFIC	SFTPC
ETS1	SLC26A3
LEF1	SPP1
POU2F1	SPP1
POU2F2	SPP1
TFAP2A	TAF7
NFIC	TFPI2
HOXA4	TH
HOXA5	TH
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
ATF1	TNF
ETS1	TNF
SMAD4	TNNC1
SP3	TNNC1
PAX8	TP53
STAT1	TP53
