AR	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	ATF4
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	CREB5
PRKACA	CREBBP
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS1
MAPK1	JUN
MAPK1	FOS
MAPK1	STAT3
MAPK1	STAT1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	SMAD4
MAPK1	MYC
MAPK1	SMAD3
PRKACA	MAPK8
MAPK8	JUND
TFDP2	CCNE2
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
MAPK8	JUN
MAPK9	SMAD4
CREBBP	ANGPT4
CREBBP	PFKFB2
EP300	ANGPT4
EP300	PFKFB2
HIF1A	ANGPT4
HIF1A	PFKFB2
TEAD1	CCND1
TEAD4	CCND2
NFKB1	CCL4L2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	PDPK1
RBPJL	PTCRA
NFYC	HLA-DQA2
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
RFX5	LOC100507709
RFX5	CD74
RFXAP	LOC100507709
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
SPI1	NFKB1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
PPARD	SERPINE1
USF2	SERPINE1
ATF1	TG
ATF1	TH
ETS1	TNNC1
NFKB1	TNNC1
PAX1	VHL
ETV4	VIM
