CREB3L3	ARC
RELA	BIRC3
GLI1	WNT8A
ARNTL	PER2
CREB3	IL8
NFAT5	TNF
CREB1	IL8
CREB3L4	IL8
CREB3L4	PCNA
CREB3L1	IL8
CREB5	IL8
CREB5	PCNA
CREBBP	ENO3
CREBBP	EPO
CREBBP	VEGFA
CREBBP	VEGFC
CREBBP	HKDC1
EP300	ENO3
EP300	EPO
EP300	VEGFA
EP300	VEGFC
EP300	HKDC1
HIF1A	ENO3
HIF1A	EPO
SOS1	CCND1
SOS1	BCL2L1
RBPJL	HES1
TP53	PIDD
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
STAT3	VEGFA
EPAS1	FIGF
FOS	IL8
JUN	PGF
NFKB1	TRAF6
NFKB2	XIAP
NFKB2	BCL2L1
NFKB1	MYB
CREB5	MCL1
PPARA	CPT2
PPARD	ILK
PPARD	ACOX3
PPARG	CPT1A
RXRA	DBI
RXRA	SCD
RXRA	SCP2
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL6
RXRB	GK
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	ACSBG2
RXRB	ACOX2
RXRB	ADIPOQ
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CD36
EGR1	CCL5
MAPK1	IL8
MAX	CDK6
MAX	CCND1
CREBBP	CDKN2B
SMAD5	ID2
SMAD5	ID3
SMAD9	ID1
FOS	IL6
FOS	IL12A
FOS	CCL4L2
FOS	TNF
FOS	CCL4L1
IRF3	CXCL9
IRF5	IL6
IRF5	IL8
IRF5	IL12B
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
NFYB	HLA-DQA1
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
NFKB1	F3
NFKB1	HMOX1
JUN	IVL
PGR	KLK3
PPARG	LIPA
CREB1	NTS
PPARD	RELA
TP53	RELA
CREB1	REN
RARG	S100A8
RARA	S100A9
USF1	SP1
SP1	SPN
ETS1	SPP1
SP1	SPP1
NFIC	STMN1
ETV4	TIMP1
JUN	TIMP1
JUNB	TIMP1
TFAP2A	TIMP1
E2F4	TK1
FOS	TP53
JUN	TP53
NFIC	TP53
USF1	TP53
WT1	TP53
