DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	JUN
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
MAPK8	SMAD3
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKCA	MTOR
MTOR	PPARG
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
STAT5A	SOCS4
STAT5B	SOCS5
CREB3L1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DPA1
RFXAP	LOC100507714
MYC	CDC25A
E2F1	CDC25A
ETS1	DNTT
STAT5A	EGFR
TFAP2A	EGFR
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
