ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PLCD3	PRKCA
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
KCNMA1	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	MYC
CACNA1C	CALML6
CALML6	ADCY1
ADCY1	PRKACA
MAPK1	NFKB1
MAPK1	RELA
INS	NR1H3
NR1H3	RXRA
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRB
CREBBP	RXRG
STAT5A	SOCS4
STAT5B	SOCS5
NFKB2	TRAF6
CREB1	BCL2
PPARA	EHHADH
PPARA	ACOX1
PPARG	ACSL3
PPARG	UCP1
MAPK8	IL18
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
TP53	CCND1
SP3	CD83
EGR1	CD9
TFAP2A	HMOX1
