DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK14
MAPK14	ELK4
ADCY1	PRKACA
PRKACA	NFATC1
NFATC1	SRF
RAPGEF3	MAPK8
MAPK8	TP53
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	CREB1
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
JAK2	STAT3
JAK2	STAT1
PRKACA	ATF4
PRKACA	ATF2
STAT3	ESR1
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
STAT3	ESR2
PRKACA	MAPK1
MAPK1	ETS2
MAPK8	ELK1
STAT3	FOXO3
PRKACA	NFKB1
PRKACA	RELA
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
RBPJ	FCER2
CTNNB1	CCND3
MAPK9	SMAD4
RELA	IL6
CREBBP	PFKFB2
CREBBP	PFKL
EP300	PFKFB2
EP300	PFKL
HIF1A	PFKFB2
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
PAX6	INS
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RBPJ	HES5
TP53	BAX
NFKB1	FIGF
LEF1	PPARD
LEF1	FOSL1
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
NFKB1	REL
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
PPARG	PTGS2
MYC	PTMA
USF2	SERPINE1
NFIC	SFTPC
ATF1	TH
HOXA4	TH
NFKB1	TNNC1
SMAD4	TNNC1
ETV4	VIM
