DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	HRAS
HRAS	JUN
MAPK1	CREB1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ETS1
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ATF2
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD2
SMAD2	SP1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	STAT3
MAPK1	ELK1
ELK1	EGR1
ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
ADRA1A	GNAQ
GNAQ	HRAS
PRKAG2	CRTC2
CRTC2	CREB1
CRTC2	CREBBP
CRTC2	EP300
MTOR	HIF1A
HRAS	MAPK1
CRTC2	ATF2
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
CREBBP	SP1
PRKAG2	PPARGC1A
PPARGC1A	PPARA
MTOR	PRKCA
PRKCA	PRKACA
ADRA1A	GNA13
GNA13	SRC
SRC	STAT3
CREB3	NPY
CREB1	NPY
TFDP2	CCNE2
CTNNB1	CCND2
NFKB1	TNF
MAPK9	SMAD4
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB2
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB2
EP300	PFKFB4
HIF1A	SERPINE1
HIF1A	PFKFB2
STAT5A	MYC
STAT6	SOCS7
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
RELB	CCL13
PIK3R1	AKT3
ETS1	FIGF
FOS	MMP1
NFKB1	TRAF4
IRF1	IL12B
RELA	MYB
PPARA	APOC3
PPARD	LPL
PPARG	ANGPTL4
RXRA	EHHADH
RXRG	EHHADH
IRF7	IFNA8
NFKB1	IL18
NFYB	HLA-DRB1
NFYC	HLA-DQB1
MAPK10	NOS2
MAPK10	IL23A
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
NFIC	ARG1
SP1	CAV1
SP1	CD9
TFAP2A	CYP11A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
POU2F1	HIST2H2BE
FOS	HLA-DRA
STAT5B	IFNG
EGR1	IGF2
SPI1	NFKB1
USF2	PTGS2
PPARA	SERPINE1
USF2	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
ATF1	TH
CREM	TH
ERG	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
HIF1A	VHL
ETV4	VIM
