PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	STAT3
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK1	STAT1
MAPK1	ETS1
PRKACA	NFKB1
NFKB1	HIF1A
MAPK8	SMAD3
MAPK8	FOS
MAPK8	JUND
PRKACA	CREB1
PRKACA	EP300
CREBBP	ARNT
MAPK8	SMAD4
MAPK1	ESR1
MAPK8	JUNB
MAPK8	TP53
PRKACA	RELA
SMAD3	E2F4
MAPK1	ETS2
NFKB1	MYB
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
RAPGEF3	MAPK14
MAPK14	MAX
SMAD3	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK14	CEBPB
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	XBP1
XBP1	CEBPA
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
LEF1	PPARD
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	ATF2
MAPK8	ELK1
ELK1	EGR1
PRKACA	ATF4
RXRA	RARB
PRKACA	ATF3
CREB3L3	FOSB
CREB3L1	CRH
GLI3	PTCH1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
LEF1	MYC
TCF7	BIRC5
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
RBPJ	CR2
ELK1	XIAP
ATF6B	IL8
MAPK8	JUN
CREB3L2	IL8
CREBBP	ENO1
CREBBP	ANGPT4
CREBBP	BCL2
EP300	ENO1
EP300	ANGPT4
EP300	BCL2
HIF1A	ENO1
HIF1A	ANGPT4
ARNT	EDN1
ARNT	ENO2
ARNT	FIGF
ARNT	SLC2A1
ARNT	TIMP1
ARNT	VEGFB
RELA	HIF1A
YAP1	CTGF
YAP1	GLI2
YAP1	ID3
YAP1	ITGB2
YAP1	CCND1
YAP1	AXIN2
YAP1	CCND2
WWTR1	FGF1
WWTR1	AREG
WWTR1	AREGB
SMAD1	ID4
SMAD3	CTGF
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT4	CCND3
STAT5B	CCND2
PAX6	PDX1
HNF1A	HNF4A
CREB1	MITF
MAPK1	CCND1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
EPAS1	TGFB1
FOS	CDK4
HIF1A	TGFB1
MAX	CKS1B
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF5
RELA	NOS2
CREB1	BCL2
FOXO3	RBL2
PPARA	DBI
PPARA	ACSL3
PPARA	ACOX1
PPARD	CPT1B
PPARG	ACSL1
PPARG	ACSL6
PPARG	UCP1
RXRA	CYP7A1
RXRA	ACADL
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB5
MAPK14	IL1A
MAPK14	IL6
MAPK14	IL12B
MAPK14	NOS2
MAPK14	TNF
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA21
NFKB1	CEBPB
NFKB1	IL18
NFKB1	IL23A
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK1	IL12A
MAPK1	IL12B
MAPK1	IL18
MAPK3	IL18
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK8	IL18
MAPK9	IL18
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DOA
RFX5	HLA-DOB
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYBL2	CDKN1C
NFKB1	REL
POU2F1	REL
SP1	CDK1
SP1	CDKN1C
SP1	COL4A2
SP1	REL
SP3	ABCA1
USF1	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREB1	ADRB2
SP1	CAV1
TP53	CAV1
USF1	CCNB1
USF2	CCNB1
SP1	CD14
SP1	CD9
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
