KCNQ1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ELK1
ELK1	EGR1
PRKACA	CREB1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	NEUROD1
NEUROG3	NKX2-2
NEUROG3	PAX6
PRKACA	NFKB1
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
NPAS2	RORC
SOS2	CCND3
STAT1	SOCS4
STAT1	MYC
STAT1	PIM1
STAT1	SOCS3
STAT1	SOCS5
RXRB	ANGPTL4
RXRG	GK2
RXRG	LPL
RXRG	SCD
JUN	IL12B
NFKB1	CCL3
CREB1	LOC100507709
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	HLA-DRA
CEBPA	FN1
WT1	ODC1
