AR	PRKACA
PRKACA	RELA
PRKACA	NFKB1
PRKACA	ATF3
PRKACA	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
PRKACA	MAPK1
MAPK1	JUN
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
ATF6B	ARC
ATF4	ARC
CTNNB1	CCND3
NFKB1	MMP9
NFKB1	TNF
RELA	IL6
CREBBP	NPPA
CREBBP	SERPINE1
CREBBP	PFKL
EP300	NPPA
EP300	SERPINE1
EP300	PFKL
HIF1A	NPPA
HIF1A	SERPINE1
STAT1	SOCS1
NFKB2	BIRC8
RFXANK	HLA-DMB
RFXANK	HLA-DOA
NFKB1	CSF3
ETS1	CSNK2A1
ETS2	FOS
TP53	IL8
CEBPA	ITGA2
MYC	PTMA
ESR2	SERPINE1
PPARA	SERPINE1
NFIC	SFTPC
ETS1	TFRC
JUN	TFRC
HOXA4	TH
REL	TNFSF10
ERG	TNNC1
SMAD4	TNNC1
FLI1	UPP1
HIF1A	VHL
