PPARG	RXRA
RXRA	THRA
THRA	NOTCH1
NOTCH1	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
CTNNB1	EP300
THRB	HIF1A
HIF1A	ARNT
CREBBP	SP1
CREBBP	STAT3
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREBBP	RBPJL
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
NOS3	CREB1
MAPK1	SMAD2
SMAD2	E2F4
CREB3	EP300
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
SMAD2	SP1
MAPK1	STAT3
SERPINE1	PLAT
PLAT	PLG
PLG	F2RL1
F2RL1	GNAQ
GNAQ	DVL1
DVL1	NOTCH1
PLG	PARD3
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PRKCZ	MAPK1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
ATF6B	IL8
CREBBP	ENO1
EP300	ENO1
HIF1A	ENO1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
RBPJ	HES5
TP53	BAX
RFXANK	HLA-DRB5
CREB3	AQP2
CREB3L4	AQP2
SP1	CDKN1C
USF1	CCNB1
USF2	CCNB1
REL	CSF2
SP3	CTSL
RARA	S100A8
POU2F1	SPP1
STAT1	TIMP1
STAT1	TP53
ETS1	VWF
ETS2	VWF
NFIC	VWF
