AR	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	TP53
PRKACA	MAPK1
MAPK1	FOXO3
CREBBP	SP1
MAPK1	JUN
MAPK1	ESR1
MAPK1	ETS1
PRKACA	ATF2
MAPK1	STAT3
MAPK1	SMAD2
NFKB1	TNF
TNF	SMAD7
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
GLI2	WNT10B
GLI3	WNT16
ARNTL	NR1D1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
CREBBP	FASLG
MAPK10	SMAD4
RELA	IL6
CREBBP	EGF
CREBBP	PFKFB4
CREBBP	PFKL
EP300	EGF
EP300	PFKFB4
EP300	PFKL
HIF1A	EGF
NFKB1	FIGF
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
SPI1	CXCR2
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
TP53	MMP2
JUN	MMP7
FOS	NTS
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
USF1	S100A6
POU2F1	SFTPA1
NFIC	SFTPC
LEF1	SPP1
CREM	TH
HOXA4	TH
SP1	TIMP1
SMAD3	TNNC1
SMAD4	TNNC1
PAX8	TP53
