DHODH	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	CREB1
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
JAK2	STAT1
STAT1	MYD88
PRKACA	NFKB1
CREBBP	SP1
PTK2B	RAC1
RAC1	NFKB1
NFKB1	HIF1A
NFKB1	TP53
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
RAC1	MAPK1
MAPK1	CREB1
MAPK1	FOS
NFKB1	TRAF6
TRAF6	MYD88
MAPK1	SMAD2
SMAD2	SP1
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
SOS1	SPRED2
STAT4	SOCS1
RXRA	PLIN1
RXRG	DBI
CREB1	HLA-DPB1
NFYB	HLA-DPA1
POU2F2	REL
SP1	ADA
EGR1	AKR1B1
RARA	AKR1B1
ATF4	CGA
REL	EGFR
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
