AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
MAPK1	ETS1
MAPK1	SMAD4
MAPK1	STAT3
MAPK1	SMAD3
MAPK1	FOS
MAPK1	STAT1
PRKACA	MAPK8
MAPK8	JUND
MAPK8	JUNB
CYP21A2	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
PRKCA	HRAS
HRAS	JUN
JAK2	PIK3R5
PIK3R5	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	MAPK1
PRKCA	FOS
JAK2	STAT1
CYP21A2	CYP11B2
CYP11B2	HSD17B6
HSD17B6	DGAT1
DGAT1	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
CYP19A1	CYP3A4
CYP3A4	PLA2G4B
MAPK1	SMAD2
SMAD2	SP1
PRKCA	MTOR
MTOR	HIF1A
CYP19A1	CYP11B2
CYP11B2	HSD11B1
HRAS	MAPK8
TFDP2	CCNE2
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
NFYB	HLA-DOA
NFYC	HLA-DQA2
SP2	CD14
FLI1	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
SPI1	NFKB1
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
