ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	TP53
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	HRAS
HRAS	JUN
MAPK1	ESR1
MAPK1	ETS1
MAPK1	ATF2
MAPK1	STAT3
PIK3R5	MTOR
MTOR	PPARG
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAI1	MAPK8
MAPK8	JUND
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD2	WWTR1
MAPK8	JUNB
MAPK1	MYC
MAPK1	NFKB1
MAPK1	CREB1
MAPK1	RELA
MAPK1	ELK1
ELK1	EGR1
MAPK1	STAT1
STAT1	MYD88
HRAS	FOS
NFKB1	NFKB2
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
ADORA2A	GNAS
GNAS	SRC
SRC	STAT3
GNAS	ADCY1
ADCY1	PRKACA
HRAS	MAPK8
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
LOC400927-CSNK1E	WWTR1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
PDE4B	ADCY1
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
PRKACA	MAPK1
MAPK8	SMAD4
MAPK8	TP53
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	JUN
PRKACA	ATF2
PRKACA	PRKAG2
PRKAG2	MTOR
SMAD3	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SMAD3	WWTR1
PRKACA	CREB1
PRKACA	RELA
MAPK8	ELK1
NFKB1	TRAF6
TRAF6	MYD88
MAPK8	FOS
RYR1	CALML6
CALML6	CAMK2A
RYR1	PRKCA
PRKCA	MAPK1
PRKCA	MTOR
MTOR	HIF1A
CALML6	HRAS
PRKCA	ATF2
PRKCA	PRKACA
CREBBP	LEF1
PRKCA	RAF1
PRKCA	CREB1
CAMK2A	STAT1
PRKCA	FOS
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
NFKB1	TP53
MAPK1	JUN
PRKACA	MAPK8
NFKB1	PPP2CA
PPP2CA	YAP1
PPP2CA	WWTR1
MAPK1	FOS
PDE5A	HPRT1
HPRT1	PDE3B
PDE5A	ITPA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PPP1CA	WWTR1
PDE6C	HPRT1
PDE6C	ITPA
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE9A	ITPA
PDE6A	HPRT1
PDE6A	ITPA
PDE6B	HPRT1
PDE6B	ITPA
PRKDC	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
YAP1	SMAD3
YAP1	SMAD4
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
TP53	PTEN
PTEN	PIK3R5
PTEN	AKT3
AKT3	JUN
THBS1	PTK2
PTK2	MAPK1
AKT3	ATF2
ITGB1	SRC
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
PTK2	MAPK14
MAPK14	JUND
TP73	WWTR1
MAPK14	JUNB
YAP1	MYC
AKT3	NFKB1
AKT3	CREB1
AKT3	RELA
TP53	FAS
FAS	FADD
FADD	RIPK1
RIPK1	TRAF6
ITGB1	PRKCA
FAS	CASP8
CASP8	CHUK
CHUK	NFKB2
PIK3CD	HIF1A
PIK3CD	HRAS
PIK3CD	AKT3
PIK3CD	MTOR
PIK3CD	PLCE1
PLCE1	PRKACA
AKT3	PPP1CA
PIK3CD	GSK3B
GSK3B	MYC
AKT3	CHUK
PIK3CA	HIF1A
PIK3CA	HRAS
PIK3CA	AKT3
PIK3CA	MTOR
PIK3CA	PLCE1
PIK3CA	GSK3B
PIK3CB	HIF1A
PIK3CB	HRAS
PIK3CB	AKT3
PIK3CB	MTOR
PIK3CB	PLCE1
PIK3CB	GSK3B
ITPR1	CAMK2A
CAMK2A	MAPK1
CREBBP	HIF1A
ITPR1	CALML6
CAMK2A	ATF2
ITPR1	PRKCA
CAMK2A	CREB1
ITPR2	CAMK2A
ITPR2	CALML6
ITPR2	PRKCA
ITPR3	CAMK2A
ITPR3	CALML6
ITPR3	PRKCA
ATM	TP53
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	WNT4
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	BIRC5
TCF7L2	CCND1
MAPK14	CXCL1
CTNNB1	CCND2
