HTR1A	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
MAPK1	NFKB1
MAPK1	ETS1
MAPK1	CREB1
MAPK1	MYC
MAPK1	RELA
MAPK1	ESR1
SMAD2	YAP1
GNAI1	HRAS
HRAS	JUN
NFKB1	NFKB2
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
SMAD2	SMAD7
HRAS	FOS
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
RBPJ	FCER2
CTNNB1	CCND3
CREBBP	FASLG
RELA	IL6
CREBBP	EGF
CREBBP	PFKL
EP300	EGF
EP300	PFKL
HIF1A	EGF
ARNT	ENO1
TEAD4	AXIN2
CREB1	MITF
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP1	EGFR
JUND	F3
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
PPARG	PTGS2
MYC	PTMA
USF1	S100A6
NFIC	SFTPC
LEF1	SPP1
HOXA4	TH
SP1	TIMP1
SMAD4	TNNC1
PAX8	TP53
