TPO	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	HRAS
HRAS	JUN
HRAS	FOS
NOS1	MAPK1
MAPK1	MYC
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
TP53	TP73
ETS1	SPI1
GOT1	ADSSL1
ADSSL1	ADSL
ADSL	PDE3B
PDE3B	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	HIF1A
RUNX1	JUP
RUNX1T1	JUP
VDR	TRPV5
EP300	EDN1
SMAD2	CTGF
RELA	TRAF1
RELA	TRAF2
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	PDPK1
PIK3CG	AKT3
PLCG2	EGFR
PIK3R3	AKT3
EPAS1	TGFB2
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP1	CD99
E2F4	CDC45
JUN	COL1A1
MYBL2	COL1A1
CREB1	ICAM1
CREM	ICAM1
CREB1	POLD2
SMAD4	TIMP1
