AR	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
MAPK1	JUN
PRKACA	CREB1
PRKACA	ATF1
CREBBP	SP1
PRKACA	RELA
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	TP53
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
CREB3	CRH
GLI3	BMP2
ATF6B	PCNA
NFKB1	TNF
MAPK9	JUN
CREBBP	ENO2
CREBBP	SERPINE1
CREBBP	PFKFB1
EP300	ENO2
EP300	SERPINE1
EP300	PFKFB1
HIF1A	ENO2
HIF1A	SERPINE1
HIF1A	PFKFB1
STAT4	SOCS2
STAT5B	SOCS1
MAPK3	CCND1
NFKB1	IL1B
NFKB1	PLAU
RELB	ICAM1
PIK3CG	PDPK1
RBPJ	HES1
TP53	BAI1
EPAS1	TGFA
MAX	CKS2
NFKB2	TRAF4
PPARA	ACSL1
PPARG	ACSBG1
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DPA1
NFYC	HLA-DQA2
ETS2	TWF2
FLI1	POLR2A
MYC	CCNB1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT4	IFNG
PPARA	MMP9
RARB	S100A8
PPARA	SERPINE1
SP1	SERPINE1
POU2F2	SPP1
JUN	TFRC
PAX8	TG
STAT3	TIMP1
ERG	TNNC1
JUN	TNNC1
TP53	TP53
HIF1A	VHL
ERG	VIM
