PPARG	RXRA
RXRA	THRB
THRB	MYC
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
THRB	HIF1A
CREBBP	CREB1
CTNNB1	EP300
HIF1A	ARNT
CTNNB1	LEF1
LEF1	JUN
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	MYC
MAPK1	TP53
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
GATM	NOS3
NOS3	CREB1
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
NOS1	HRAS
HRAS	JUN
CREB3	FOSB
EGR3	FASLG
NFKB1	TNF
CREBBP	FIGF
CREBBP	SERPINE1
EP300	FIGF
EP300	SERPINE1
HIF1A	FIGF
HIF1A	SERPINE1
HNF1A	HNF4G
NFYB	HLA-DPA1
MAPK1	IL1B
RFXANK	HLA-DMA
RFXANK	HLA-DRB5
RFXANK	CD74
USF2	CEACAM6
ATF1	CGA
CREB1	F3
ESR1	FOS
ETS2	FOS
STAT5A	IFNG
RARG	S100A9
PPARA	SERPINE1
TFAP2A	TAF7
JUN	TFRC
ATF1	TNF
ERG	TNNC1
CREB1	TRH
HIF1A	VHL
