HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK1
MAPK1	ETS1
MAPK1	CREB1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	TP53
MAPK1	CREB3
CREB3	ATF1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
PIK3R5	MTOR
MTOR	PPARG
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	MYC
PIK3R5	GSK3B
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
NFKB1	NFKB2
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	FOS
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT8B
GLI3	WNT3A
NR1H4	SLC51B
E2F2	CCNE2
E2F3	CCNE1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
CREB3L4	IL8
NFKB1	TNF
CREBBP	ENO3
CREBBP	SERPINE1
EP300	ENO3
EP300	SERPINE1
HIF1A	ENO3
HIF1A	SERPINE1
CREBBP	MITF
LEF1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
RBPJL	HES1
RBPJ	HES1
TP53	RCHY1
TP53	GTSE1
TP53	PIDD
TP53	BAI1
STAT3	VEGFC
ETS1	VEGFA
ETS1	VEGFC
JUN	VEGFC
NFKB1	NOS2
NFKB2	BCL2
NFKB2	TRAF1
FOXO3	G6PC
FOXO3	G6PC2
PPARA	APOA5
PPARA	CYP4A11
PPARA	ACOX2
PPARD	CPT1A
PPARG	CPT1C
PPARG	CPT1B
RXRA	CPT1C
RXRA	CYP4A11
MAPK8	IL18
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CD14
SP1	CD99
MYC	CDC25A
E2F4	CDC45
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
FOS	MT1A
CEBPE	MYB
EGR1	MYB
ESR1	MYC
JUN	MYC
TFAP2A	MYC
TP53	MYC
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
RARG	S100A8
PPARA	SERPINE1
SP1	SPP1
JUN	TFRC
TFAP2A	TIMP1
ERG	TNNC1
USF1	TP53
HIF1A	VHL
