HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	PAX8
PAX8	RXRA
RXRA	RARB
PRKCA	CREB1
PRKCA	FOS
PRKCA	PRKACA
PRKACA	PPARA
PAX8	RXRB
PAX8	RXRG
PRKCA	HRAS
HRAS	JUN
PRKCA	MTOR
MTOR	PPARG
MAPK1	ETS1
MAPK1	TP53
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK11	IL8
RBPJL	FCER2
STAT4	CCND1
STAT5B	MYC
PAX6	PDX1
LEF1	MITF
EPAS1	TGFA
EPAS1	TGFB1
MAX	CKS2
MYC	CDK4
NFKB2	TRAF4
RELA	NOS2
PPARA	ACSL1
PPARA	ACSL3
PPARG	ACSBG1
PPARG	ACSL6
RXRA	SCD5
RXRB	ACAA1
NFATC3	PTGS2
LEF1	JUN
LEF1	MMP7
CREB1	ADRB2
SP1	CAV1
SP3	CD14
EGR1	CD44
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
ATF1	GH2
CREB1	GH2
NFKB1	PPP2R4
CEBPB	PTGS2
