AR	PRKACA
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
NFKB1	CEBPB
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
STAT3	PIM2
ELK1	CCND1
ATF6B	IL8
CREB3L2	PCNA
CREBBP	ENO1
CREBBP	SLC2A1
EP300	ENO1
EP300	SLC2A1
HIF1A	ENO1
NFYB	HLA-DPA1
NFYC	HLA-DQA2
MAPK9	IL12A
MAPK9	IL12B
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	CAV1
USF2	CCNB1
CREB1	CCND1
ELK1	CCT8
E2F4	HSP90B1
USF2	PTPN6
RARA	S100A8
SP1	SOD1
POU2F1	SPP1
USF1	THBS1
STAT1	TIMP1
E2F4	TOP1
STAT1	TP53
