AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ETS1
PRKACA	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	CREB1
NFKB1	HIF1A
MAPK1	MYC
MAPK1	FOS
NFKB1	TP53
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREBBP
PRKACA	EP300
MAPK1	STAT1
PRKACA	RELA
CREBBP	SP1
PRKACA	MAPK3
MAPK1	STAT3
PPP2CA	WWTR1
MAPK1	ELK1
CREBBP	ARNT
PRKACA	ATF4
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	CREB5
PRKACA	PSEN1
PSEN1	ATF6
CREB3L1	NPY
CREB5	BDNF
ATF6B	FOS
ATF4	FOS
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	PGK1
ARNT	CDKN1A
ARNT	ENO2
ARNT	FIGF
ARNT	FLT1
ARNT	HK3
ARNT	SLC2A1
ARNT	TIMP1
ARNT	VEGFB
RELA	HIF1A
YAP1	CTGF
YAP1	GLI2
YAP1	BIRC2
YAP1	ITGB2
YAP1	CCND1
YAP1	SNAI2
YAP1	CCND2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	AREGB
SMAD1	ID4
SMAD3	CTGF
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
FOXO1	PCK1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
HNF1A	FOXA3
TCF7	MITF
TCF7L2	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
MAPK8	IL18
RFXAP	HLA-DOA
RFXAP	HLA-DRB3
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
USF2	B2M
SP3	COL2A1
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	HMOX1
STAT1	IL2RA
CEBPB	IL4
ATF2	INS
SP1	ITGA2
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
NFKB1	VWF
