VDR	ATP2B1
ATP2B1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	MDM2
MDM2	RB1
RB1	TFDP2
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	TFDP1
AKT3	NFKB1
NFKB1	CEBPB
MAPK1	STAT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	TP53
PRKCA	CREB1
SMAD2	E2F4
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT5B
GLI2	WNT3A
EP300	MITF
TCF7L2	MITF
RELA	TRAF4
IRF1	IL12A
PPARA	ACAA1
PPARA	ACADM
PPARG	LPL
PPARG	PCK2
RXRB	SCD
MAPK1	TNF
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	CYP17A1
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
FOS	MMP3
NFKB1	MMP3
